model,user_id,n_folds,total_n_test,avg_n_test,total_n_train,avg_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5,accuracy_top1_w,f1_macro_top1_w,recall@1_w,recall@3_w,recall@5_w,mrr@1_w,mrr@3_w,mrr@5_w
baseline,0,41,12577,306.7560975609756,302416,7376.0,0.16832659458124638,0.01609559432117804,0.16832659458124638,0.3690979912476441,0.47468815288401967,0.16832659458124638,0.2564237486598695,0.2811423937330412,0.1940844398505208,0.016412158701108875,0.1940844398505208,0.4157589250218653,0.536693965174525,0.1940844398505208,0.29119291829000027,0.31930375553258594
baseline,1,34,30719,903.5,746047,21942.558823529413,0.10488184537269882,0.004643360055930957,0.10488184537269882,0.21411877537569582,0.2835288426066799,0.10488184537269882,0.15042945067049174,0.16633349581111578,0.10273771932680101,0.0030525663496295723,0.10273771932680101,0.20124353006282755,0.2736417201080764,0.10273771932680101,0.14457935913712458,0.16115053658430722
baseline,10,38,3162,83.21052631578948,41272,1086.1052631578948,0.03687101688059145,0.005560725558000177,0.03687101688059145,0.08897785720116082,0.15241919113859914,0.03687101688059145,0.056854707670370125,0.07163033425491876,0.06704617330803289,0.0035473806731646336,0.06704617330803289,0.16698292220113853,0.2346616065781151,0.06704617330803289,0.11053130929791274,0.12628083491461103
baseline,11,6,3325,554.1666666666666,35327,5887.833333333333,0.1210791492626268,0.006953744258973736,0.1210791492626268,0.395423079255305,0.5373701002615004,0.1210791492626268,0.2375903327254233,0.27078808053699016,0.11639097744360902,0.006769563922784602,0.11639097744360902,0.3825563909774436,0.5227067669172932,0.11639097744360902,0.22897243107769422,0.2617543859649124
baseline,12,39,9662,247.74358974358975,317351,8137.205128205128,0.10654799964528237,0.010126813166070657,0.10654799964528237,0.24494631713237097,0.3351066418828658,0.10654799964528237,0.16355666547797698,0.18413611953529446,0.11260608569654317,0.005590089207571986,0.11260608569654317,0.26785344649140963,0.37135168702132065,0.11260608569654317,0.17874146139515623,0.20218898778720765
baseline,13,11,3617,328.8181818181818,80237,7294.272727272727,0.017742976105556276,0.0008990835881616709,0.017742976105556276,0.07877806470584668,0.11848753690925254,0.017742976105556276,0.04173892884629509,0.050882154210378644,0.017694221730716064,0.0004101664040143572,0.017694221730716064,0.07271219242466131,0.10312413602432956,0.017694221730716064,0.03962768408441618,0.04665007833379412
baseline,14,21,6237,297.0,95792,4561.523809523809,0.17152313258095014,0.00918298893943194,0.17152313258095014,0.34612284592140774,0.41833768242976127,0.17152313258095014,0.24284336677756618,0.2592052494167324,0.17139650472983806,0.00844681417782665,0.17139650472983806,0.3259579926246593,0.40051306717973384,0.17139650472983806,0.24058040724707389,0.25739939073272405
baseline,15,31,10574,341.0967741935484,333427,10755.709677419354,0.05114097047292936,0.009342467786482029,0.05114097047292936,0.13557319324687808,0.1928087194014341,0.05114097047292936,0.09064861050349246,0.10430236598866341,0.008606014753168148,0.0011473359577612852,0.008606014753168148,0.03007376584074144,0.07508984301115945,0.008606014753168148,0.01848874598070739,0.02880650652543975
baseline,16,41,3133,76.41463414634147,51226,1249.4146341463415,0.26828579492548826,0.06905367048051697,0.26828579492548826,0.4479967908743214,0.6224800583919525,0.26828579492548826,0.3432489805554445,0.38373786269860205,0.30450047877433767,0.06144954005854486,0.30450047877433767,0.4877114586658155,0.6594318544526013,0.30450047877433767,0.3814767528460475,0.4206564528141293
baseline,17,12,97762,8146.833333333333,1192459,99371.58333333333,0.1687944331240929,0.001623968062426794,0.1687944331240929,0.2984472548840214,0.31619827963600905,0.1687944331240929,0.23163727273051624,0.23557832205329432,0.1562979480779853,0.001492258239439642,0.1562979480779853,0.2812237883840347,0.29748777643665225,0.1562979480779853,0.217090144091433,0.2206912365404419
baseline,18,43,97182,2260.046511627907,2393826,55670.37209302326,0.10716619624587408,0.004627681120128822,0.10716619624587408,0.2812320665241313,0.3875155008611659,0.10716619624587408,0.18066630164533334,0.2046729768547346,0.10686135292543887,0.004073048905289423,0.10686135292543887,0.2649667633923978,0.3689469243275504,0.10686135292543887,0.17446131999753026,0.19775730073470382
baseline,19,21,28879,1375.1904761904761,557344,26540.190476190477,0.05510993242953323,0.001089444929603868,0.05510993242953323,0.15471118516711976,0.2215681154567682,0.05510993242953323,0.09734129123455672,0.1125315958370385,0.053256691713701995,0.00100431690942827,0.053256691713701995,0.14699262439835176,0.21565843692648637,0.053256691713701995,0.09261054745662942,0.10817549084109558
