model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-01-23 07:19:11.962001-03:00,2025-01-30 07:19:11.962001-03:00,1,1742,13686,0.060849598163030996,0.0007361294279771895,0.060849598163030996,0.1383467278989667,0.19001148105625718,0.060849598163030996,0.09290088021431304,0.10432453119020291
baseline,2025-01-23 07:29:04.576003-03:00,2025-01-30 07:29:04.576003-03:00,1,911,3289,0.027442371020856202,0.0002519754878245444,0.027442371020856202,0.07354555433589462,0.11086717892425905,0.027442371020856202,0.04720087815587267,0.05576289791437982
baseline,2025-01-23 09:14:25.081005-03:00,2025-01-30 09:14:25.081005-03:00,1,114,1353,0.13157894736842105,0.00400962309542903,0.13157894736842105,0.16666666666666666,0.17543859649122806,0.13157894736842105,0.14912280701754385,0.1513157894736842
baseline,2025-01-23 11:29:41.527005-03:00,2025-01-30 11:29:41.527005-03:00,1,472,4513,0.1461864406779661,0.010066249539933752,0.1461864406779661,0.3940677966101695,0.4851694915254237,0.1461864406779661,0.23693502824858734,0.2555790960451977
baseline,2025-01-23 11:43:42.906010-03:00,2025-01-30 11:43:42.906010-03:00,1,1433,15836,0.10048848569434753,0.0056659437703925125,0.10048848569434753,0.2002791346824843,0.2847173761339846,0.10048848569434753,0.13840428006513175,0.15762968132123736
baseline,2025-01-23 13:54:27.589002-03:00,2025-01-30 13:54:27.589002-03:00,1,1871,10638,0.08391234633885623,0.0016612551406655818,0.08391234633885623,0.2576162479957242,0.2998396579369321,0.08391234633885623,0.16274719401389665,0.17148583645109552
baseline,2025-01-23 23:05:36.614007-03:00,2025-01-30 23:05:36.614007-03:00,1,2,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-01-25 08:47:57.581000-03:00,2025-02-01 08:47:57.581000-03:00,1,33,149,0.15151515151515152,0.015360983102918587,0.15151515151515152,0.18181818181818182,0.2727272727272727,0.15151515151515152,0.1616161616161616,0.1828282828282828
baseline,2025-01-25 10:28:20.800009-03:00,2025-02-01 10:28:20.800009-03:00,1,111,2041,0.14414414414414414,0.012598425196850395,0.14414414414414414,0.3333333333333333,0.36936936936936937,0.14414414414414414,0.23873873873873874,0.24774774774774774
baseline,2025-01-30 07:19:11.962001-03:00,2025-02-06 07:19:11.962001-03:00,1,1064,15428,0.07894736842105263,0.001415080487884928,0.07894736842105263,0.15319548872180452,0.22462406015037595,0.07894736842105263,0.11262531328320795,0.12883771929824564
baseline,2025-01-30 07:29:04.576003-03:00,2025-02-06 07:29:04.576003-03:00,1,633,4200,0.017377567140600316,0.00026675073356451735,0.017377567140600316,0.0679304897314376,0.12322274881516587,0.017377567140600316,0.03949447077409163,0.05244865718799367
baseline,2025-01-30 09:14:25.081005-03:00,2025-02-06 09:14:25.081005-03:00,1,208,1467,0.1346153846153846,0.003042155584528466,0.1346153846153846,0.16346153846153846,0.1778846153846154,0.1346153846153846,0.1482371794871795,0.15184294871794873
baseline,2025-01-30 11:29:41.527005-03:00,2025-02-06 11:29:41.527005-03:00,1,589,4985,0.050933786078098474,0.0034700052164840893,0.050933786078098474,0.3853989813242784,0.4634974533106961,0.050933786078098474,0.18392756083757755,0.20090548953027704
baseline,2025-01-30 11:43:42.906010-03:00,2025-02-06 11:43:42.906010-03:00,1,1529,17269,0.011118378024852845,0.0011061946902654867,0.011118378024852845,0.058207979071288427,0.12295618051013735,0.011118378024852845,0.029649008066274303,0.04524743841290605
baseline,2025-01-30 12:00:34.919013-03:00,2025-02-06 12:00:34.919013-03:00,1,6,411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
